catalog_label,control_label,relation_label,technique,technique_label,definition
CCI Catalog v2022-04-05,CCI-000219,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system, when transferring information between different security domains, decomposes information into organization-defined policy-relevant subcomponents for submission to policy enforcement mechanisms."
CCI Catalog v2022-04-05,CCI-000219,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system, when transferring information between different security domains, decomposes information into organization-defined policy-relevant subcomponents for submission to policy enforcement mechanisms."
CCI Catalog v2022-04-05,CCI-000226,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutionIsolation,Execution Isolation,The information system provides the capability for a privileged administrator to configure organization-defined security policy filters to support different security policies.
CCI Catalog v2022-04-05,CCI-000346,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalFilePermissions,Local File Permissions,The organization employs automated mechanisms to enforce access restrictions.
CCI Catalog v2022-04-05,CCI-000346,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The organization employs automated mechanisms to enforce access restrictions.
CCI Catalog v2022-04-05,CCI-000346,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccountPermissions,User Account Permissions,The organization employs automated mechanisms to enforce access restrictions.
CCI Catalog v2022-04-05,CCI-000352,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableAllowlisting,Executable Allowlisting,The information system prevents the installation of organization-defined critical software programs that are not signed with a certificate that is recognized and approved by the organization.
CCI Catalog v2022-04-05,CCI-000352,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableDenylisting,Executable Denylisting,The information system prevents the installation of organization-defined critical software programs that are not signed with a certificate that is recognized and approved by the organization.
CCI Catalog v2022-04-05,CCI-000374,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OperatingSystemMonitoring,Operating System Monitoring,The organization employs automated mechanisms to respond to unauthorized changes to organization-defined configuration settings.
CCI Catalog v2022-04-05,CCI-000381,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,The organization configures the information system to provide only essential capabilities.
CCI Catalog v2022-04-05,CCI-000382,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,"The organization configures the information system to prohibit or restrict the use of organization-defined functions, ports, protocols, and/or services."
CCI Catalog v2022-04-05,CCI-000386,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableDenylisting,Executable Denylisting,The organization employs automated mechanisms to prevent program execution on the information system in accordance with the organization-defined specifications.
CCI Catalog v2022-04-05,CCI-000417,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutionIsolation,Execution Isolation,The organization disables network access by unauthorized components/devices or notifies designated organizational officials.
CCI Catalog v2022-04-05,CCI-000417,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkIsolation,Network Isolation,The organization disables network access by unauthorized components/devices or notifies designated organizational officials.
CCI Catalog v2022-04-05,CCI-000663,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutionIsolation,Execution Isolation,The organization (or information system) enforces explicit rules governing the installation of software by users.
CCI Catalog v2022-04-05,CCI-000764,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#BiometricAuthentication,Biometric Authentication,The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
CCI Catalog v2022-04-05,CCI-000764,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Certificate-basedAuthentication,Certificate-based Authentication,The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
CCI Catalog v2022-04-05,CCI-000764,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
CCI Catalog v2022-04-05,CCI-000764,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#One-timePassword,One-time Password,The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
CCI Catalog v2022-04-05,CCI-000765,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system implements multifactor authentication for network access to privileged accounts.
CCI Catalog v2022-04-05,CCI-000766,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system implements multifactor authentication for network access to non-privileged accounts.
CCI Catalog v2022-04-05,CCI-000767,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system implements multifactor authentication for local access to privileged accounts.
CCI Catalog v2022-04-05,CCI-000768,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system implements multifactor authentication for local access to non-privileged accounts.
CCI Catalog v2022-04-05,CCI-000771,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system uses multifactor authentication for network access to privileged accounts where one of the factors is provided by a device separate from the information system being accessed.
CCI Catalog v2022-04-05,CCI-000772,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system uses multifactor authentication for network access to non-privileged accounts where one of the factors is provided by a device separate from the information system being accessed.
CCI Catalog v2022-04-05,CCI-000774,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#One-timePassword,One-time Password,The information system uses organization-defined replay-resistant authentication mechanisms for network access to privileged accounts.
CCI Catalog v2022-04-05,CCI-000776,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#One-timePassword,One-time Password,The information system uses organization-defined replay-resistant authentication mechanisms for network access to non-privileged accounts.
CCI Catalog v2022-04-05,CCI-000804,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#BiometricAuthentication,Biometric Authentication,The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).
CCI Catalog v2022-04-05,CCI-000804,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Certificate-basedAuthentication,Certificate-based Authentication,The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).
CCI Catalog v2022-04-05,CCI-000804,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).
CCI Catalog v2022-04-05,CCI-000804,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#One-timePassword,One-time Password,The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).
CCI Catalog v2022-04-05,CCI-000831,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialEviction,Credential Eviction,The organization implements a configurable capability to automatically disable the information system if organization-defined security violations are detected.
CCI Catalog v2022-04-05,CCI-000831,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#ProcessEviction,Process Eviction,The organization implements a configurable capability to automatically disable the information system if organization-defined security violations are detected.
CCI Catalog v2022-04-05,CCI-000877,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#BiometricAuthentication,Biometric Authentication,The organization employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions.
CCI Catalog v2022-04-05,CCI-000877,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Certificate-basedAuthentication,Certificate-based Authentication,The organization employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions.
CCI Catalog v2022-04-05,CCI-000877,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Multi-factorAuthentication,Multi-factor Authentication,The organization employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions.
CCI Catalog v2022-04-05,CCI-000880,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OperatingSystemMonitoring,Operating System Monitoring,The organization audits non-local maintenance and diagnostic sessions.
CCI Catalog v2022-04-05,CCI-000884,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,Credential Hardening,The organization protects nonlocal maintenance sessions by employing organization-defined authenticators that are replay resistant.
CCI Catalog v2022-04-05,CCI-000888,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedTunnels,Encrypted Tunnels,The organization employs cryptographic mechanisms to protect the integrity and confidentiality of non-local maintenance and diagnostic communications.
CCI Catalog v2022-04-05,CCI-001009,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The information system uses cryptographic mechanisms to protect and restrict access to information on portable digital media.
CCI Catalog v2022-04-05,CCI-001019,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#DiskEncryption,Disk Encryption,The organization employs cryptographic mechanisms to protect information in storage.
CCI Catalog v2022-04-05,CCI-001019,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#FileEncryption,File Encryption,The organization employs cryptographic mechanisms to protect information in storage.
CCI Catalog v2022-04-05,CCI-001067,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#PlatformHardening,Platform Hardening,The information system implements privileged access authorization to organization-identified information system components for selected organization-defined vulnerability scanning activities.
CCI Catalog v2022-04-05,CCI-001069,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableAllowlisting,Executable Allowlisting,The organization employs automated mechanisms to detect the presence of unauthorized software on organizational information systems and notify designated organizational officials in accordance with the organization-defined frequency.
CCI Catalog v2022-04-05,CCI-001069,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableDenylisting,Executable Denylisting,The organization employs automated mechanisms to detect the presence of unauthorized software on organizational information systems and notify designated organizational officials in accordance with the organization-defined frequency.
CCI Catalog v2022-04-05,CCI-001082,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalFilePermissions,Local File Permissions,The information system separates user functionality (including user interface services) from information system management functionality.
CCI Catalog v2022-04-05,CCI-001082,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system separates user functionality (including user interface services) from information system management functionality.
CCI Catalog v2022-04-05,CCI-001082,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system separates user functionality (including user interface services) from information system management functionality.
CCI Catalog v2022-04-05,CCI-001083,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalFilePermissions,Local File Permissions,The information system prevents the presentation of information system management-related functionality at an interface for non-privileged users.
CCI Catalog v2022-04-05,CCI-001083,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system prevents the presentation of information system management-related functionality at an interface for non-privileged users.
CCI Catalog v2022-04-05,CCI-001083,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system prevents the presentation of information system management-related functionality at an interface for non-privileged users.
CCI Catalog v2022-04-05,CCI-001084,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system isolates security functions from nonsecurity functions.
CCI Catalog v2022-04-05,CCI-001085,broader,http://d3fend.mitre.org/ontologies/d3fend.owl#Hardware-basedProcessIsolation,Hardware-based Process Isolation,The information system utilizes underlying hardware separation mechanisms to implement security function isolation.
CCI Catalog v2022-04-05,CCI-001086,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system isolates security functions enforcing access and information flow control from both nonsecurity functions and from other security functions.
CCI Catalog v2022-04-05,CCI-001087,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The organization implements an information system isolation boundary to minimize the number of nonsecurity functions included within the boundary containing security functions.
CCI Catalog v2022-04-05,CCI-001089,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The organization implements security functions as a layered structure minimizing interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers.
CCI Catalog v2022-04-05,CCI-001090,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkTrafficFiltering,Network Traffic Filtering,The information system prevents unauthorized and unintended information transfer via shared system resources.
CCI Catalog v2022-04-05,CCI-001092,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system protects against or limits the effects of the organization-defined or referenced types of denial of service attacks.
CCI Catalog v2022-04-05,CCI-001092,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system protects against or limits the effects of the organization-defined or referenced types of denial of service attacks.
CCI Catalog v2022-04-05,CCI-001094,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system restricts the ability of individuals to launch organization-defined denial of service attacks against other information systems.
CCI Catalog v2022-04-05,CCI-001094,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system restricts the ability of individuals to launch organization-defined denial of service attacks against other information systems.
CCI Catalog v2022-04-05,CCI-001096,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#LocalFilePermissions,Local File Permissions,The information system limits the use of resources by priority.
CCI Catalog v2022-04-05,CCI-001096,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#SystemConfigurationPermissions,System Configuration Permissions,The information system limits the use of resources by priority.
CCI Catalog v2022-04-05,CCI-001100,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#MandatoryAccessControl,Mandatory Access Control,The information system prevents public access into the organization's internal networks except as appropriately mediated by managed interfaces employing boundary protection devices.
CCI Catalog v2022-04-05,CCI-001109,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,"The information system at managed interfaces denies network communications traffic by default and allows network communications traffic by exception (i.e., deny all, permit by exception)."
CCI Catalog v2022-04-05,CCI-001109,exactly,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,"The information system at managed interfaces denies network communications traffic by default and allows network communications traffic by exception (i.e., deny all, permit by exception)."
CCI Catalog v2022-04-05,CCI-001111,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#InboundTrafficFiltering,Inbound Traffic Filtering,The information system prevents remote devices that have established a non-remote connection with the system from communicating outside of that communications path with resources in external networks.
CCI Catalog v2022-04-05,CCI-001111,narrower,http://d3fend.mitre.org/ontologies/d3fend.owl#OutboundTrafficFiltering,Outbound Traffic Filtering,The information system prevents remote devices that have established a non-remote connection with the system from communicating outside of that communications path with resources in external networks.
